time,MemFree,MemAvailable,Buffers,Cached,Active,Inactive,Active\(anon\),Inactive\(anon\),Active\(file\),Inactive\(file\),Unevictable,Mlocked,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,CmaTotal,CmaFree
1,1468160,1470448,0,0,27100,5404,14492,0,12608,5404,18212,0,0,0,0,14492,8856,0,213768,3696,210072,2688,1544,0,0,0,1023856,166264,263061440,0,0,560,237568,7020
1,1468188,1470480,0,0,27116,5404,14508,0,12608,5404,18212,0,0,0,0,14472,8856,0,213764,3700,210064,2688,1568,0,0,0,1023856,166240,263061440,0,0,560,237568,7020
1,1467952,1470244,0,0,27100,5404,14492,0,12608,5404,18212,0,0,0,0,14492,8856,0,213576,3704,209872,2656,1544,0,0,0,1023856,169412,263061440,0,0,560,237568,7020
1,1468012,1470304,0,0,27228,5404,14620,0,12608,5404,18212,0,0,0,0,14448,8860,0,213612,3704,209908,2656,1636,0,0,0,1023856,166276,263061440,0,0,560,237568,7020
1,1468200,1470492,0,0,27100,5404,14492,0,12608,5404,18212,0,0,0,0,14492,8856,0,213576,3704,209872,2656,1544,0,0,0,1023856,167080,263061440,0,0,560,237568,7020
1,1467952,1470244,0,0,27100,5404,14492,0,12608,5404,18212,0,0,0,0,14492,8856,0,213760,3704,210056,2656,1544,0,0,0,1023856,165276,263061440,0,0,560,237568,7020
1,1467700,1469992,0,0,27144,5404,14536,0,12608,5404,18212,0,0,0,0,14496,8856,0,213628,3704,209924,2688,1596,0,0,0,1023856,166928,263061440,0,0,560,237568,7020
1,1468032,1470328,0,0,27112,5404,14504,0,12608,5404,18212,0,0,0,0,14456,8856,0,213644,3708,209936,2688,1560,0,0,0,1023856,165248,263061440,0,0,560,237568,7020
1,1468140,1470436,0,0,27148,5404,14540,0,12608,5404,18212,0,0,0,0,14540,8856,0,213556,3708,209848,2688,1580,0,0,0,1023856,167452,263061440,0,0,560,237568,7020
1,1467952,1470248,0,0,27112,5404,14504,0,12608,5404,18212,0,0,0,0,14540,8856,0,213560,3708,209852,2672,1560,0,0,0,1023856,167744,263061440,0,0,560,237568,7020
